"","Start","ID","Type","Via","Altitude(ft/m)","Position (lat/long)","Distance (leg/total)","Name","URL"
"71","•","SJ","VOR","-","0 / 0","1.22333 / 103.85500","27  / 27 nm","SINJON","https://flightplandatabase.com/plan/1319617"
"72","O","WSSS","APT","-","0 / 0","1.35561 / 103.98800","11  / 38 nm","Singapore Changi","https://flightplandatabase.com/plan/1319617"
"73","O","WMKJ","APT","-","0 / 0","1.62713 / 103.67479","- / 0 nm","","https://flightplandatabase.com/plan/2181"
"74","•","+01.56_+103.70","DME","-","100 / 30","1.55915 / 103.69961","4  / 4 nm","","https://flightplandatabase.com/plan/2181"
"75","•","+01.53_+103.88","DME","-","100 / 30","1.52733 / 103.87746","10  / 15 nm","","https://flightplandatabase.com/plan/2181"
"76","•","+01.50_+104.06","DME","-","100 / 30","1.49551 / 104.05530","10  / 26 nm","","https://flightplandatabase.com/plan/2181"
"77","O","WSSS","APT","-","0 / 0","1.36213 / 103.99910","8  / 34 nm","","https://flightplandatabase.com/plan/2181"
"78","O","WSAP","APT","-","0 / 0","1.36040 / 103.90953","- / 0 nm","Singapore Paya Lebar Aero","https://flightplandatabase.com/plan/1196734"
"79","•","SAMKO","FIX","-","0 / 0","1.09167 / 103.88194","16  / 16 nm","","https://flightplandatabase.com/plan/1196734"
"80","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","17  / 33 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/1196734"
"81","O","WSAP","APT","-","0 / 0","1.36040 / 103.90953","- / 0 nm","Singapore Paya Lebar Aero","https://flightplandatabase.com/plan/1196777"
"82","•","SAMKO","FIX","-","0 / 0","1.09167 / 103.88194","16  / 16 nm","","https://flightplandatabase.com/plan/1196777"
"83","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","17  / 33 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/1196777"
"84","O","WIDD","APT","-","0 / 0","1.12103 / 104.11875","- / 0 nm","Batam Hang Nadim","https://flightplandatabase.com/plan/1235125"
"85","•","BTM","VOR","-","0 / 0","1.13688 / 104.13259","1  / 1 nm","BATAM VOR-DME","https://flightplandatabase.com/plan/1235125"
"86","•","SJ","VOR","-","0 / 0","1.22259 / 103.85423","17  / 18 nm","SINJON VOR-DME","https://flightplandatabase.com/plan/1235125"
"87","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","11  / 30 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/1235125"
"88","O","WMKJ","APT","-","0 / 0","1.65548 / 103.66444","- / 0 nm","","https://flightplandatabase.com/plan/32040"
"89","O","WSSS","APT","-","0 / 0","1.34897 / 103.97750","26  / 26 nm","","https://flightplandatabase.com/plan/32040"
"90","O","WSSS","APT","-","0 / 0","1.34897 / 103.97750","- / 0 nm","","https://flightplandatabase.com/plan/15103"
"91","O","WMKJ","APT","-","0 / 0","1.65548 / 103.66444","26  / 26 nm","","https://flightplandatabase.com/plan/15103"
"92","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","- / 0 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/327687"
"93","•","ALFA","APT","-","2,900 / 884","1.50917 / 103.82833","12  / 12 nm","","https://flightplandatabase.com/plan/327687"
"94","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","13  / 26 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/327687"
"95","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","- / 0 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/780589"
"96","•","ALFA","APT","-","2,900 / 884","1.50917 / 103.82833","12  / 12 nm","","https://flightplandatabase.com/plan/780589"
"97","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","13  / 26 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/780589"
"98","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/1032292"
"99","•","ALFA","APT","-","2,600 / 792","1.50917 / 103.82833","13  / 13 nm","","https://flightplandatabase.com/plan/1032292"
"100","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","12  / 26 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/1032292"
"101","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","- / 0 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/1090405"
"102","•","ALFA","APT","-","2,900 / 884","1.50917 / 103.82833","12  / 12 nm","","https://flightplandatabase.com/plan/1090405"
"103","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","13  / 26 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/1090405"
"104","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","- / 0 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/400009"
"105","•","ALFA","APT","-","2,900 / 884","1.50917 / 103.82833","12  / 12 nm","","https://flightplandatabase.com/plan/400009"
"106","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","13  / 26 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/400009"
"107","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/804024"
"108","•","ALFA","APT","-","2,600 / 792","1.50917 / 103.82833","13  / 13 nm","","https://flightplandatabase.com/plan/804024"
"109","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","12  / 26 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/804024"
"110","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","- / 0 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/804028"
"111","•","ALFA","APT","-","2,900 / 884","1.50917 / 103.82833","12  / 12 nm","","https://flightplandatabase.com/plan/804028"
"112","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","13  / 26 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/804028"
"113","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/882405"
"114","•","ALFA","APT","-","2,600 / 792","1.50917 / 103.82833","13  / 13 nm","","https://flightplandatabase.com/plan/882405"
"115","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","12  / 26 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/882405"
"116","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/191105"
"117","•","ALFA","APT","-","2,600 / 792","1.50917 / 103.82833","13  / 13 nm","","https://flightplandatabase.com/plan/191105"
"118","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","12  / 26 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/191105"
"119","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/280729"
"120","•","ALFA","APT","-","2,600 / 792","1.50917 / 103.82833","13  / 13 nm","","https://flightplandatabase.com/plan/280729"
"121","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","12  / 26 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/280729"
"122","O","WSSS","APT","-","0 / 0","1.35192 / 103.99560","- / 0 nm","Singapore Changi Intl. Airport","https://flightplandatabase.com/plan/133275"
"123","•","ALFA","APT","-","2,600 / 792","1.50917 / 103.82833","13  / 13 nm","","https://flightplandatabase.com/plan/133275"
"124","O","WMKJ","APT","-","0 / 0","1.64131 / 103.66962","12  / 26 nm","Johor Bahru Sultan Ismail","https://flightplandatabase.com/plan/133275"
